"","State","county","fips","pred","with_without"
"1","Alabama","Autauga County",1001,-82,"with"
"2","Alabama","Baldwin County",1003,-74,"with"
"3","Alabama","Barbour County",1005,-48,"with"
"4","Alabama","Bibb County",1007,-83,"with"
"5","Alabama","Blount County",1009,-82,"with"
"6","Alabama","Bullock County",1011,-84,"with"
"7","Alabama","Butler County",1013,-77,"with"
"8","Alabama","Calhoun County",1015,-71,"with"
"9","Alabama","Chambers County",1017,-85,"with"
"10","Alabama","Cherokee County",1019,-55,"with"
"11","Alabama","Chilton County",1021,-77,"with"
"12","Alabama","Choctaw County",1023,-79,"with"
"13","Alabama","Clarke County",1025,-67,"with"
"14","Alabama","Clay County",1027,-71,"with"
"15","Alabama","Cleburne County",1029,-67,"with"
"16","Alabama","Coffee County",1031,-73,"with"
"17","Alabama","Colbert County",1033,-65,"with"
"18","Alabama","Conecuh County",1035,-33,"with"
"19","Alabama","Coosa County",1037,-55,"with"
"20","Alabama","Covington County",1039,-70,"with"
"21","Alabama","Crenshaw County",1041,-83,"with"
"22","Alabama","Cullman County",1043,-65,"with"
"23","Alabama","Dale County",1045,-80,"with"
"24","Alabama","Dallas County",1047,-66,"with"
"25","Alabama","DeKalb County",1049,-60,"with"
"26","Alabama","Elmore County",1051,-79,"with"
"27","Alabama","Escambia County",1053,-67,"with"
"28","Alabama","Etowah County",1055,-61,"with"
"29","Alabama","Fayette County",1057,-75,"with"
"30","Alabama","Franklin County",1059,-76,"with"
"31","Alabama","Geneva County",1061,-83,"with"
"32","Alabama","Greene County",1063,-75,"with"
"33","Alabama","Hale County",1065,-72,"with"
"34","Alabama","Henry County",1067,-67,"with"
"35","Alabama","Houston County",1069,-69,"with"
"36","Alabama","Jackson County",1071,-62,"with"
"37","Alabama","Jefferson County",1073,-81,"with"
"38","Alabama","Lamar County",1075,-71,"with"
"39","Alabama","Lauderdale County",1077,-63,"with"
"40","Alabama","Lawrence County",1079,-71,"with"
"41","Alabama","Lee County",1081,-66,"with"
"42","Alabama","Limestone County",1083,-76,"with"
"43","Alabama","Lowndes County",1085,-47,"with"
"44","Alabama","Macon County",1087,-98,"with"
"45","Alabama","Madison County",1089,-90,"with"
"46","Alabama","Marengo County",1091,-75,"with"
"47","Alabama","Marion County",1093,-66,"with"
"48","Alabama","Marshall County",1095,-62,"with"
"49","Alabama","Mobile County",1097,-78,"with"
"50","Alabama","Monroe County",1099,-54,"with"
"51","Alabama","Montgomery County",1101,-86,"with"
"52","Alabama","Morgan County",1103,-75,"with"
"53","Alabama","Perry County",1105,-70,"with"
"54","Alabama","Pickens County",1107,-66,"with"
"55","Alabama","Pike County",1109,-51,"with"
"56","Alabama","Randolph County",1111,-65,"with"
"57","Alabama","Russell County",1113,-77,"with"
"58","Alabama","Saint Clair County",1115,-79,"with"
"59","Alabama","Shelby County",1117,-84,"with"
"60","Alabama","Sumter County",1119,-54,"with"
"61","Alabama","Talladega County",1121,-78,"with"
"62","Alabama","Tallapoosa County",1123,-34,"with"
"63","Alabama","Tuscaloosa County",1125,-66,"with"
"64","Alabama","Walker County",1127,-70,"with"
"65","Alabama","Washington County",1129,-80,"with"
"66","Alabama","Wilcox County",1131,17,"with"
"67","Alabama","Winston County",1133,-58,"with"
"68","Alaska","Anchorage Municipality",2020,-100,"with"
"69","Alaska","Fairbanks North Star Borough",2090,-100,"with"
"70","Alaska","Juneau City and Borough",2110,-98,"with"
"71","Alaska","Kenai Peninsula Borough",2122,-100,"with"
"72","Alaska","Ketchikan Gateway Borough",2130,-92,"with"
"73","Alaska","Matanuska-Susitna Borough",2170,-100,"with"
"74","Alaska","North Slope Borough",2185,-83,"with"
"75","Arizona","Apache County",4001,-79,"with"
"76","Arizona","Cochise County",4003,-99,"with"
"77","Arizona","Coconino County",4005,-80,"with"
"78","Arizona","Gila County",4007,-70,"with"
"79","Arizona","Graham County",4009,-86,"with"
"80","Arizona","Greenlee County",4011,-96,"with"
"81","Arizona","La Paz County",4012,-49,"with"
"82","Arizona","Maricopa County",4013,-97,"with"
"83","Arizona","Mohave County",4015,-86,"with"
"84","Arizona","Navajo County",4017,-86,"with"
"85","Arizona","Pima County",4019,-100,"with"
"86","Arizona","Pinal County",4021,-100,"with"
"87","Arizona","Santa Cruz County",4023,-100,"with"
"88","Arizona","Yavapai County",4025,-97,"with"
"89","Arizona","Yuma County",4027,-99,"with"
"90","Arkansas","Arkansas County",5001,-55,"with"
"91","Arkansas","Ashley County",5003,-70,"with"
"92","Arkansas","Baxter County",5005,-37,"with"
"93","Arkansas","Benton County",5007,-67,"with"
"94","Arkansas","Boone County",5009,-67,"with"
"95","Arkansas","Bradley County",5011,-60,"with"
"96","Arkansas","Carroll County",5015,-69,"with"
"97","Arkansas","Chicot County",5017,-89,"with"
"98","Arkansas","Clark County",5019,-30,"with"
"99","Arkansas","Clay County",5021,-87,"with"
"100","Arkansas","Cleburne County",5023,-54,"with"
"101","Arkansas","Cleveland County",5025,-84,"with"
"102","Arkansas","Columbia County",5027,-66,"with"
"103","Arkansas","Conway County",5029,-66,"with"
"104","Arkansas","Craighead County",5031,-43,"with"
"105","Arkansas","Crawford County",5033,-69,"with"
"106","Arkansas","Crittenden County",5035,-77,"with"
"107","Arkansas","Cross County",5037,-58,"with"
"108","Arkansas","Dallas County",5039,-90,"with"
"109","Arkansas","Desha County",5041,-42,"with"
"110","Arkansas","Drew County",5043,-63,"with"
"111","Arkansas","Faulkner County",5045,-69,"with"
"112","Arkansas","Franklin County",5047,-63,"with"
"113","Arkansas","Garland County",5051,-55,"with"
"114","Arkansas","Grant County",5053,-88,"with"
"115","Arkansas","Greene County",5055,-62,"with"
"116","Arkansas","Hempstead County",5057,-65,"with"
"117","Arkansas","Hot Spring County",5059,-71,"with"
"118","Arkansas","Howard County",5061,-67,"with"
"119","Arkansas","Independence County",5063,-55,"with"
"120","Arkansas","Izard County",5065,-51,"with"
"121","Arkansas","Jackson County",5067,-48,"with"
"122","Arkansas","Jefferson County",5069,-72,"with"
"123","Arkansas","Johnson County",5071,-33,"with"
"124","Arkansas","Lafayette County",5073,-76,"with"
"125","Arkansas","Lawrence County",5075,-83,"with"
"126","Arkansas","Lee County",5077,-67,"with"
"127","Arkansas","Lincoln County",5079,-59,"with"
"128","Arkansas","Little River County",5081,-77,"with"
"129","Arkansas","Logan County",5083,-69,"with"
"130","Arkansas","Lonoke County",5085,-77,"with"
"131","Arkansas","Madison County",5087,-74,"with"
"132","Arkansas","Marion County",5089,-75,"with"
"133","Arkansas","Miller County",5091,-68,"with"
"134","Arkansas","Mississippi County",5093,-69,"with"
"135","Arkansas","Monroe County",5095,-61,"with"
"136","Arkansas","Montgomery County",5097,18,"with"
"137","Arkansas","Nevada County",5099,-32,"with"
"138","Arkansas","Ouachita County",5103,-69,"with"
"139","Arkansas","Perry County",5105,-45,"with"
"140","Arkansas","Phillips County",5107,-74,"with"
"141","Arkansas","Pike County",5109,-70,"with"
"142","Arkansas","Poinsett County",5111,-79,"with"
"143","Arkansas","Polk County",5113,-63,"with"
"144","Arkansas","Pope County",5115,-37,"with"
"145","Arkansas","Prairie County",5117,-54,"with"
"146","Arkansas","Pulaski County",5119,-80,"with"
"147","Arkansas","Randolph County",5121,-36,"with"
"148","Arkansas","Saint Francis County",5123,-60,"with"
